Serial Number,Roll_Num,Uni_ID,Student Name, AML3201, CSL2301, CSL3307, CSL4207, CSL4208, CSL4305, CSL4318, CSL4336, CSL5210, CSP2301, ECL3311, GEW1601, GEW1603, GEW1604, GEW1605, GEW1607, GEW1608, GEW1609, GEW1610, GEW1611, GEW1613, AMP1201, CSP1307, CSP2210, ECP1311,Total
 136,10123546,20012136,AAA AAA136, 79.55, 86.67, , 84.48, 78.69, , , , 86.67, 83.87, , , 100, , , , , , , , , 93.33, , 80.33, , 83.44
 137,10123547,20012137,AAA AAA137, 52.27, 60, , 65.52, 49.18, , , , 53.33, 64.52, , 100, , , , , , , , , , 80, , 49.18, , 58.5
 138,10123548,20012138,AAA AAA138, 77.27, 73.33, , 79.31, 72.13, , , , 86.67, 70.97, , , , , , , , , , , 100, 73.33, , 75.41, , 76.38
 139,10123549,20012139,AAA AAA139, 77.27, 80, , 79.31, 75.41, , , , 86.67, 80.65, , , , , , , , , , , 100, 86.67, , 81.97, , 81.24
 140,10123550,20012140,AAA AAA140, , 64.1, , 74.29, 68.42, , 83.33, 69.77, 0, 67.65, , , , , , , , , , , , , , 0, , 67.7
 141,10123551,20012141,AAA AAA141, 54.55, 80, , 68.97, 54.1, , , , 73.33, 64.52, , 100, , , , , , , , , , 73.33, , 50.82, , 62.47
 142,10123552,20012142,AAA AAA142, 29.55, 33.33, , 36.21, 32.79, , , , 33.33, 35.48, , , 0, , , , , , , , , 33.33, , 14.75, , 27.37
 143,10123553,20012143,AAA AAA143, 79.55, 76.67, , 81.03, 68.85, , , , 86.67, 77.42, , , , , , , , 75, , , , 80, , 70.49, , 75.72
 144,10123554,20012144,AAA AAA144, , 66.67, , 85.51, 80.7, , 80, 83.72, 0, 79.41, , , , , , , , , , , , , , 0, , 75.73
 145,10123555,20012145,AAA AAA145, 50, 53.33, , 55.17, 44.26, , , , 66.67, 64.52, , , , 100, , , , , , , , 60, , 44.26, , 54.08
 146,10123556,20012146,AAA AAA146, 77.27, 73.33, , 74.14, 75.41, , , , 80, 77.42, , , , , , , , 100, , , , 73.33, , 77.05, , 77.04
 147,10123557,20012147,AAA AAA147, 77.27, 80, , 56.9, 73.77, , , , 86.67, 80.65, , , , , , , , 75, , , , 66.67, , 75.41, , 74.17
 148,10123558,20012148,AAA AAA148, 65.91, 76.67, , 79.31, 70.49, , , , 86.67, 74.19, , 100, , , , , , , , , , 66.67, , 67.21, , 73.07
 149,10123559,20012149,AAA AAA149, , 69.23, , 85.51, 82.46, , 96.67, 79.07, 0, 73.53, , , , , , , , , , , , , , 8.33, , 77.59
 150,10123560,20012150,AAA AAA150, 65.91, 76.67, , 75.86, 62.3, , , , 73.33, 74.19, , 100, , , , , , , , , , 73.33, , 68.85, , 71.52
 151,10123561,20012151,AAA AAA151, 84.09, 80, , 77.59, 75.41, , , , 93.33, 87.1, , 100, , , , , , , , , , 80, , 78.69, , 81.68
 152,10123562,20012152,AAA AAA152, 79.55, 80, , 79.31, 75.41, , , , 86.67, 85.48, , 100, , , , , , , , , , 80, , 80.33, , 81.24
